,Unknown (Voting Frequency),1 (Voting Frequency),2 (Voting Frequency),3 (Voting Frequency),4 (Voting Frequency),5 (Voting Frequency),6 (Voting Frequency),7 (Voting Frequency),8 (Voting Frequency),European (Broad Ethnic Groupings),Hispanic and Portuguese (Broad Ethnic Groupings),Likely African-American (Broad Ethnic Groupings),East and South Asian (Broad Ethnic Groupings),Other (Broad Ethnic Groupings),Unknown (Broad Ethnic Groupings),18 to 19 (Age Range Based on Birth Year),20 to 24 (Age Range Based on Birth Year),25 to 29 (Age Range Based on Birth Year),30 to 34 (Age Range Based on Birth Year),35 to 39 (Age Range Based on Birth Year),40 to 44 (Age Range Based on Birth Year),45 to 49 (Age Range Based on Birth Year),50 to 54 (Age Range Based on Birth Year),55 to 64 (Age Range Based on Birth Year),65 and over (Age Range Based on Birth Year),Unknown (Age Range Based on Birth Year),Unknown (Estimated Income Range),"""$1,000-$14,999 (Estimated Income Range)""","""$15,000-$24,999 (Estimated Income Range)""","""$25,000-$34,999 (Estimated Income Range)""","""$35,000-$49,999 (Estimated Income Range)""","""$50,000-$74,999 (Estimated Income Range)""","""$75,000-$99,999 (Estimated Income Range)""","""$100,000-$124,999 (Estimated Income Range)""","""$125,000-$149,999 (Estimated Income Range)""","""$150,000-$174,999 (Estimated Income Range)""","""$175,000-$199,999 (Estimated Income Range)""","""$200,000-$249,999 (Estimated Income Range)""","""$250,000 and up (Estimated Income Range)""",Liberal (Ideology - General),Moderate (Ideology - General),Conservative (Ideology - General),Unknown (Ideology - General),Libertarian (Parties Description),Republican (Parties Description),Democratic (Parties Description),American Independent (Parties Description),Non-Partisan (Parties Description),Other (Parties Description),Registered Independent (Parties Description),Total
AK -- HOONAH ANGOON (County),1,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,2,0,0,0,0,3
AK -- JUNEAU (County),18,12,16,20,27,21,36,27,34,169,7,0,3,8,24,0,1,0,2,6,11,11,15,57,107,1,2,2,1,0,3,19,26,0,74,13,19,21,31,44,19,81,67,5,78,36,0,89,3,0,211
AK -- KENAI PENINSULA (County),32,23,26,40,48,66,76,49,62,345,16,0,2,1,58,0,0,1,3,8,22,21,24,100,236,7,13,4,5,11,16,62,65,12,143,18,21,22,30,33,11,298,80,6,269,34,0,110,3,0,422
AK -- KETCHIKAN GATEWAY (County),5,6,1,4,6,7,4,6,5,39,1,0,0,0,4,0,1,0,1,0,2,5,2,14,17,2,0,1,0,0,1,5,8,1,12,4,6,4,2,6,0,30,8,2,31,5,0,6,0,0,44
AK -- KODIAK ISLAND (County),2,1,1,4,7,11,6,6,2,31,2,0,0,0,7,0,0,0,0,3,4,2,2,15,14,0,0,1,0,1,1,1,5,2,25,0,1,3,0,3,4,23,10,0,29,2,0,9,0,0,40
AK -- KUSILVAK (County),0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
AK -- LAKE AND PENINSULA (County),1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
AK -- MATANUSKA SUSITNA (County),103,93,114,115,161,228,215,184,185,1205,41,0,8,16,128,0,3,4,13,49,103,111,177,425,494,19,31,7,9,9,31,95,195,19,526,84,192,108,92,78,37,1054,229,25,992,90,0,271,20,0,1398
AK -- NOME (County),0,3,0,1,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,1,3,1,1,3,1,0,0,0,0,5
AK -- NORTH SLOPE (County),2,1,0,1,1,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0,1,0,0,0,3,0,0,0,0,0,2,3,1,0,4,0,0,2,0,0,6
AK -- NORTHWEST ARCTIC (County),1,0,2,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,3,1,0,2,1,0,2,0,0,5
AK -- PETERSBURG (County),0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,3
AK -- PRINCE OF WALES HYDER (County),0,1,1,1,1,2,1,1,2,8,1,0,0,0,1,0,0,0,0,0,2,1,0,2,5,0,1,1,0,0,1,1,3,0,2,0,0,0,1,0,2,7,1,0,7,0,0,2,1,0,10
AK -- SITKA (County),3,3,3,4,9,9,4,2,2,35,1,0,0,0,3,0,0,0,1,0,2,3,5,11,16,1,0,0,0,0,0,5,7,0,18,2,2,4,1,13,7,11,8,0,13,12,0,13,1,0,39
AK -- SOUTHEAST FAIRBANKS (County),4,1,4,7,3,3,2,6,4,30,1,0,0,0,3,0,0,1,0,3,1,4,3,8,13,1,2,0,1,0,2,4,10,1,12,0,2,0,0,2,2,26,4,1,23,3,0,7,0,0,34
AK -- WRANGELL (County),0,0,0,2,0,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,1,3,1,0,2,0,0,2,1,0,5
AK -- YAKUTAT (County),0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
AK -- YUKON KOYUKUK (County),0,1,2,3,2,1,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0,2,0,0,1,2,2,3,0,1,0,0,0,0,2,0,6,3,0,6,1,0,4,0,0,11
AL -- AUTAUGA (County),161,82,99,92,117,141,133,200,339,1084,9,147,1,10,113,0,3,18,45,69,56,71,96,264,741,1,6,50,21,41,89,247,299,37,449,35,62,16,12,122,33,727,482,0,1128,211,0,25,0,0,1364
AL -- BALDWIN (County),555,319,375,399,416,515,504,626,838,3774,77,199,16,50,431,0,18,46,102,169,177,254,335,890,2545,11,18,77,50,87,300,783,891,64,1568,215,235,158,101,336,49,2670,1492,0,3958,522,0,67,0,0,4547
AL -- BARBOUR (County),50,17,23,27,31,35,47,56,82,250,4,94,2,1,17,0,2,3,6,7,17,15,34,56,227,1,1,29,18,28,63,64,67,0,81,5,7,3,2,56,29,201,82,0,243,123,0,2,0,0,368
AL -- BIBB (County),40,17,27,26,25,19,40,58,61,270,3,19,0,0,21,0,2,7,8,9,22,18,25,61,160,1,4,26,16,20,57,65,51,0,68,3,0,2,1,10,9,210,84,0,281,30,0,2,0,0,313
AL -- BLOUNT (County),121,80,92,111,93,128,139,187,260,1097,3,17,1,11,82,0,5,16,22,45,67,63,80,216,695,2,3,61,38,60,120,308,264,8,298,17,23,4,7,16,35,288,872,0,1112,81,0,18,0,0,1211
AL -- BULLOCK (County),16,6,6,10,8,3,9,14,30,30,0,69,0,0,3,0,0,2,4,5,3,8,9,24,47,0,1,10,2,10,17,28,8,0,23,0,1,0,2,19,26,20,37,0,24,78,0,0,0,0,102
AL -- BUTLER (County),47,18,17,13,19,47,30,54,87,213,4,90,0,2,23,0,2,2,11,8,12,16,19,60,202,0,2,38,16,32,44,68,51,0,74,2,2,1,2,42,19,207,64,0,229,99,0,4,0,0,332
AL -- CALHOUN (County),329,181,181,200,218,235,321,375,527,2014,33,352,11,11,146,0,20,33,53,111,128,131,172,429,1487,3,11,194,102,160,248,592,532,0,634,28,48,14,4,263,113,1467,724,0,2004,526,0,37,0,0,2567
AL -- CHAMBERS (County),75,51,49,41,52,53,57,70,97,396,2,118,0,0,29,0,4,8,7,15,16,24,32,90,344,5,1,42,31,46,84,136,89,0,107,4,5,0,0,53,46,335,111,0,398,142,0,5,0,0,545
AL -- CHEROKEE (County),59,25,29,26,36,48,66,56,139,434,1,16,1,3,29,0,4,4,7,10,20,18,35,83,301,2,2,33,20,35,50,131,90,0,109,8,5,1,0,28,5,264,187,0,388,58,0,38,0,0,484
AL -- CHILTON (County),102,55,49,44,60,61,85,104,180,645,7,41,0,3,44,0,4,10,28,41,32,40,59,133,391,2,4,43,28,32,84,208,139,0,177,7,5,9,4,30,18,483,209,0,662,69,0,9,0,0,740
AL -- CHOCTAW (County),20,10,10,9,12,23,16,27,55,120,2,51,0,0,9,0,2,2,5,5,7,13,13,33,101,1,1,22,8,16,27,46,29,0,32,0,0,0,1,23,16,103,40,0,120,61,0,1,0,0,182
AL -- CLARKE (County),30,21,18,20,34,32,50,66,135,289,0,100,0,2,15,0,2,9,5,16,20,20,19,65,250,0,0,26,21,33,60,109,66,0,84,5,1,1,0,45,27,256,78,0,284,118,0,4,0,0,406
AL -- CLAY (County),26,16,18,14,16,9,27,37,60,183,0,17,1,2,20,0,1,2,5,4,10,12,13,41,135,0,2,17,10,13,35,66,41,0,38,0,0,0,1,11,7,146,59,0,196,25,0,2,0,0,223
AL -- CLEBURNE (County),35,18,12,17,17,29,34,34,70,243,0,4,0,0,19,0,2,7,4,6,12,12,16,47,160,0,0,21,9,16,36,86,39,0,56,1,1,1,0,7,10,48,201,0,242,21,0,3,0,0,266
AL -- COFFEE (County),231,108,108,126,145,207,261,376,563,1699,58,226,5,17,120,0,2,13,25,34,139,97,158,414,1243,0,5,52,38,59,142,390,397,14,787,74,91,49,27,153,71,1364,537,0,1795,305,0,25,0,0,2125
AL -- COLBERT (County),140,87,85,98,117,129,147,195,251,1017,8,136,3,9,76,0,5,22,41,54,62,68,79,220,696,2,2,99,48,54,142,296,243,1,309,21,23,8,3,180,58,690,321,0,842,315,0,92,0,0,1249
AL -- CONECUH (County),24,12,13,11,15,13,27,30,40,118,1,61,0,1,4,0,1,4,3,7,5,10,14,41,99,1,1,16,12,17,30,46,20,0,42,0,1,0,0,31,25,81,48,0,101,83,0,1,0,0,185
AL -- COOSA (County),11,10,7,5,6,9,6,16,19,69,0,16,0,1,3,0,0,1,0,5,2,10,7,13,51,0,0,5,4,7,13,31,8,0,18,1,1,0,1,6,3,60,20,0,71,18,0,0,0,0,89
AL -- COVINGTON (County),89,37,38,32,46,46,60,104,122,486,4,39,1,5,39,0,2,14,12,20,32,27,28,90,349,0,0,33,32,42,80,147,97,0,131,4,6,0,2,31,20,299,224,0,493,71,0,10,0,0,574
AL -- CRENSHAW (County),43,13,15,15,20,23,25,42,57,214,2,25,0,0,12,0,0,4,7,15,12,18,19,46,132,0,3,30,9,24,39,60,33,0,50,2,1,1,1,23,3,193,34,0,219,32,0,2,0,0,253
AL -- CULLMAN (County),207,118,125,120,137,163,166,251,440,1573,12,11,4,3,124,1,8,27,41,83,83,93,109,292,990,0,2,99,48,90,177,487,347,2,411,20,34,6,4,35,81,386,1225,0,1547,150,0,30,0,0,1727
AL -- DALE (County),222,127,129,147,165,166,243,361,466,1546,29,274,8,13,156,0,4,14,32,57,122,93,127,364,1212,1,4,58,67,88,197,483,412,0,630,23,48,8,8,148,85,1388,405,0,1643,355,0,28,0,0,2026
AL -- DALLAS (County),83,21,28,36,33,35,40,77,192,220,2,303,1,1,18,0,2,11,16,32,32,21,26,86,317,2,1,50,32,44,74,135,75,0,122,3,6,1,2,150,97,59,239,0,139,404,0,2,0,0,545
AL -- DEKALB (County),107,62,75,73,86,102,118,128,224,882,2,9,1,6,75,0,8,10,27,30,48,62,77,195,516,2,4,113,45,62,139,261,147,0,181,2,12,6,3,55,17,543,360,0,800,102,0,73,0,0,975
AL -- ELMORE (County),176,103,134,136,173,203,229,297,467,1577,23,169,9,19,121,0,7,28,46,85,85,98,112,396,1060,1,6,47,41,51,114,324,401,14,705,64,88,37,26,121,42,1175,580,0,1631,258,0,29,0,0,1918
AL -- ESCAMBIA (County),99,47,43,48,77,50,91,79,6,421,3,93,0,6,17,0,5,6,12,21,17,29,37,101,312,0,0,39,26,50,79,148,89,0,94,7,3,3,2,37,41,357,105,0,400,133,0,7,0,0,540
AL -- ETOWAH (County),282,158,175,174,222,212,268,387,490,1925,14,261,5,10,153,0,15,31,37,121,87,137,150,406,1382,2,1,182,116,158,308,539,409,2,556,30,51,11,5,162,169,1158,879,0,1812,389,0,167,0,0,2368
AL -- FAYETTE (County),29,20,15,13,22,36,40,53,107,285,2,26,0,1,21,0,1,6,9,12,13,17,20,58,199,0,1,38,23,30,49,83,44,0,62,2,2,1,0,17,11,239,68,0,292,38,0,5,0,0,335
AL -- FRANKLIN (County),61,24,31,36,34,26,54,67,96,377,1,11,0,0,40,0,2,5,10,25,17,21,27,82,240,0,0,50,22,43,66,107,53,0,82,2,2,1,1,41,3,266,119,0,347,48,0,34,0,0,429
AL -- GENEVA (County),106,50,62,58,66,96,107,153,299,852,11,63,2,6,63,0,3,7,15,26,77,59,88,189,532,1,3,54,28,47,136,225,192,0,293,8,9,1,1,25,38,675,259,0,906,87,0,4,0,0,997
AL -- GREENE (County),12,6,4,4,3,4,8,14,33,33,0,53,0,0,2,0,0,0,3,6,3,3,7,7,59,0,1,10,4,14,15,16,9,2,16,0,1,0,0,19,16,20,33,0,26,62,0,0,0,0,88
AL -- HALE (County),23,11,12,9,16,18,28,32,60,128,0,72,0,0,9,0,0,7,3,9,8,13,17,34,118,0,0,24,17,17,23,48,31,0,45,0,3,1,0,44,20,92,53,0,96,111,0,2,0,0,209
AL -- HENRY (County),66,50,65,53,62,89,104,174,248,664,3,179,2,4,59,0,3,4,7,15,57,48,77,159,540,1,2,40,22,45,94,202,177,3,273,18,21,10,4,87,36,605,183,0,707,193,0,11,0,0,911
AL -- HOUSTON (County),454,234,238,297,372,384,498,644,1040,3101,43,695,8,18,296,0,6,24,49,93,251,232,309,745,2448,4,5,111,108,140,366,786,715,19,1391,126,202,102,90,347,162,2432,1220,0,3299,819,0,43,0,0,4161
AL -- JACKSON (County),146,65,71,78,77,107,120,116,179,850,3,24,1,7,74,0,5,14,19,43,34,45,67,178,553,1,2,70,42,61,134,244,171,0,202,8,12,10,3,91,34,579,255,0,722,148,0,89,0,0,959
AL -- JEFFERSON (County),1275,673,699,817,916,1086,1304,1668,2322,6172,62,3851,39,54,582,0,63,148,301,581,569,559,677,1815,6038,9,53,417,297,466,925,1829,1831,100,3287,336,501,315,403,1727,1176,3793,4064,0,6158,4538,0,64,0,0,10760
AL -- LAMAR (County),36,20,16,16,20,27,39,34,63,237,2,18,1,0,13,0,0,3,5,13,6,10,21,53,160,0,2,41,13,26,32,76,44,4,30,1,1,0,1,17,6,162,86,0,231,37,0,3,0,0,271
AL -- LAUDERDALE (County),228,122,126,122,172,181,223,266,387,1567,10,107,2,14,127,0,13,18,32,73,84,100,124,295,1088,0,5,89,53,95,162,419,396,0,505,21,39,24,19,170,81,1096,480,0,1379,286,0,162,0,0,1827
AL -- LAWRENCE (County),99,26,43,47,57,68,81,96,130,565,6,36,3,11,26,0,3,10,18,27,34,45,52,122,334,2,1,56,30,38,71,179,124,0,136,4,7,1,0,52,24,443,128,0,494,103,0,50,0,0,647
AL -- LEE (County),297,195,162,189,217,227,256,319,354,1666,37,335,10,10,158,0,17,35,54,106,104,114,154,388,1234,10,12,64,52,72,153,394,466,20,682,76,119,57,49,292,59,1102,763,0,1661,517,0,38,0,0,2216
AL -- LIMESTONE (County),198,123,133,153,177,205,235,290,432,1609,24,175,4,5,129,0,11,27,52,83,109,117,165,402,979,1,11,64,33,63,146,315,384,27,631,86,98,43,45,180,76,1014,676,0,1459,299,0,188,0,0,1946
AL -- LOWNDES (County),21,8,11,7,13,8,9,21,19,65,0,49,0,0,3,0,0,4,6,5,6,4,11,23,57,1,0,7,8,13,9,24,20,0,31,2,1,0,2,23,23,39,32,0,52,63,0,2,0,0,117
AL -- MACON (County),43,11,14,14,11,18,20,33,58,54,0,159,0,1,8,0,2,5,3,12,13,8,15,34,130,0,0,18,12,18,41,58,29,0,43,0,3,0,0,18,89,40,75,0,52,166,0,4,0,0,222
AL -- MADISON (County),1109,701,740,855,1037,1195,1444,1662,1823,7397,245,1962,68,88,806,0,61,142,289,431,560,621,763,2559,5135,5,17,149,130,212,464,1100,1473,117,3815,726,938,701,724,1904,213,3754,4695,0,7542,2903,0,121,0,0,10566
AL -- MARENGO (County),24,14,9,21,24,34,32,43,100,168,3,102,0,1,27,0,0,4,9,13,15,13,19,44,184,0,4,30,15,21,43,60,46,3,71,5,1,1,1,86,29,90,96,0,109,192,0,0,0,0,301
AL -- MARION (County),65,39,32,43,38,51,57,79,116,478,3,14,1,2,22,0,2,6,17,22,16,26,35,91,304,1,1,65,38,53,84,114,68,0,90,3,4,0,0,30,4,138,348,0,419,50,0,51,0,0,520
AL -- MARSHALL (County),238,111,126,133,188,174,199,268,400,1637,19,11,5,13,152,0,10,21,52,69,94,84,128,344,1031,4,3,91,63,94,168,406,391,0,501,34,46,26,14,94,44,919,780,0,1485,170,0,182,0,0,1837
AL -- MOBILE (County),1172,677,647,710,726,850,974,1235,1474,5559,106,2197,22,48,533,0,56,132,204,388,461,486,632,1610,4485,11,16,351,263,370,762,1684,1641,80,2602,185,310,95,106,996,708,3803,2958,0,5674,2688,0,103,0,0,8465
AL -- MONROE (County),25,9,16,13,26,15,18,37,60,158,0,47,0,1,13,0,0,1,7,9,11,12,15,36,126,2,0,25,12,16,22,49,38,0,52,2,1,1,1,31,9,138,41,0,157,60,0,2,0,0,219
AL -- MONTGOMERY (County),571,255,296,281,316,397,493,660,1013,1859,24,2181,8,13,197,0,30,69,120,209,206,237,298,763,2341,9,12,166,119,176,373,729,724,63,1371,137,190,141,81,936,474,1212,1660,0,1844,2414,0,24,0,0,4282
AL -- MORGAN (County),278,151,172,171,238,264,306,396,530,2096,19,165,5,24,197,0,19,34,58,96,121,147,169,444,1418,0,6,101,71,101,211,480,518,19,788,56,93,40,22,210,126,1416,754,0,1919,390,0,197,0,0,2506
AL -- PERRY (County),8,2,9,6,4,2,9,21,23,45,0,33,0,0,6,0,0,0,2,3,5,2,6,19,47,0,1,6,4,9,18,18,10,0,15,2,1,0,0,13,11,32,28,0,38,46,0,0,0,0,84
AL -- PICKENS (County),24,11,18,14,22,22,29,52,77,199,1,56,0,0,13,0,1,2,4,8,16,12,25,51,150,0,2,19,14,26,42,59,45,0,60,0,2,0,0,20,13,182,54,0,208,57,0,4,0,0,269
AL -- PIKE (County),45,26,21,25,20,32,40,69,94,263,1,75,1,5,27,0,2,7,11,17,20,18,26,52,219,0,1,22,13,14,45,88,66,0,104,8,4,6,1,30,24,220,98,0,273,93,0,6,0,0,372
AL -- RANDOLPH (County),45,31,15,31,19,33,42,46,86,276,1,35,0,1,35,0,3,4,7,11,17,19,23,64,200,0,1,27,22,31,54,102,42,0,65,1,2,0,1,15,12,237,84,0,298,48,0,2,0,0,348
AL -- RUSSELL (County),173,76,75,69,84,79,97,116,107,574,13,228,0,5,56,0,5,18,30,33,31,38,54,168,498,1,8,56,32,69,127,227,142,0,185,10,17,2,1,100,88,444,244,0,567,298,0,11,0,0,876
AL -- SHELBY (County),343,281,282,355,428,532,555,646,799,3359,56,479,5,29,293,0,23,49,96,189,257,271,384,847,2097,8,9,46,35,45,120,392,631,44,1673,299,374,266,287,466,74,2151,1530,0,3446,730,0,45,0,0,4221
AL -- ST. CLAIR (County),249,139,160,165,171,220,232,295,363,1683,14,147,4,6,140,0,8,32,45,99,100,118,169,379,1041,3,1,59,45,60,164,391,381,36,682,58,72,29,16,59,104,828,1003,0,1735,236,0,23,0,0,1994
AL -- SUMTER (County),9,5,4,4,4,8,6,5,22,24,0,39,1,2,1,0,2,0,4,4,2,6,5,9,35,0,1,3,6,10,8,10,10,0,16,1,1,0,1,10,14,24,19,0,22,45,0,0,0,0,67
AL -- TALLADEGA (County),200,99,97,98,119,135,138,205,300,1047,10,243,1,4,86,0,4,24,33,44,60,61,91,252,821,1,5,75,56,88,165,387,252,8,297,21,23,11,3,123,90,885,293,0,1048,325,0,18,0,0,1391
AL -- TALLAPOOSA (County),91,45,48,46,59,89,99,124,182,638,7,89,2,3,44,0,7,11,19,31,31,27,44,141,470,2,1,46,36,42,89,176,134,3,187,27,14,18,10,61,38,518,166,0,638,136,0,9,0,0,783
AL -- TUSCALOOSA (County),370,206,213,228,237,292,334,431,651,2123,8,628,12,6,185,0,16,45,72,167,160,145,200,493,1661,3,13,119,81,145,237,523,582,27,941,81,104,45,64,407,130,1333,1092,0,2118,807,0,37,0,0,2962
AL -- WALKER (County),170,82,83,90,101,128,152,207,307,1157,8,37,0,9,109,0,6,24,34,60,80,59,100,255,700,2,5,133,69,94,205,338,212,0,229,12,13,5,5,75,34,656,555,0,1094,120,0,106,0,0,1320
AL -- WASHINGTON (County),19,11,5,13,18,26,18,35,77,183,0,27,0,2,10,0,1,3,7,8,6,9,13,33,142,0,1,16,11,16,19,67,46,2,41,3,0,0,0,18,8,175,21,0,183,39,0,0,0,0,222
AL -- WILCOX (County),8,7,3,4,8,10,13,21,25,50,0,44,0,1,4,0,0,2,0,4,6,5,4,20,58,0,0,14,5,11,15,18,11,0,23,0,2,0,0,18,14,30,37,0,40,59,0,0,0,0,99
AL -- WINSTON (County),65,30,38,39,46,53,46,68,128,480,1,1,0,1,30,0,1,11,13,15,18,33,35,106,281,0,1,59,30,51,87,120,63,0,83,6,8,3,2,9,27,175,302,0,474,32,0,7,0,0,513
AR -- ARKANSAS (County),18,23,25,33,30,41,54,44,41,250,1,31,1,3,23,0,2,3,3,3,15,13,20,44,204,2,0,22,10,17,28,76,57,0,96,0,2,0,1,40,30,145,94,0,179,87,0,43,0,0,309
AR -- ASHLEY (County),17,14,24,21,21,33,49,41,55,206,1,53,0,0,15,0,4,3,2,6,8,6,7,43,196,0,0,16,7,25,49,79,44,0,44,5,3,2,1,33,24,151,67,0,168,76,0,31,0,0,275
AR -- BAXTER (County),51,49,81,104,118,129,166,166,142,890,8,0,0,3,105,0,8,10,9,20,21,30,37,136,734,1,1,66,48,63,145,235,166,0,247,14,13,6,2,58,79,663,206,0,681,159,0,166,0,0,1006
AR -- BENTON (County),167,192,315,351,498,510,500,448,565,3089,58,12,13,16,358,0,26,32,64,129,223,259,310,654,1843,6,13,42,28,73,165,504,612,46,1274,183,235,163,208,422,363,1737,1024,1,2333,561,0,651,0,0,3546
AR -- BOONE (County),40,52,58,72,98,84,86,70,90,576,7,0,3,1,63,0,9,4,16,21,31,33,42,101,391,2,3,33,27,43,65,171,111,0,181,3,10,1,2,24,55,428,143,1,441,85,0,123,0,0,650
AR -- BRADLEY (County),5,3,4,6,8,19,16,16,22,75,2,20,0,0,2,0,0,2,3,1,0,3,10,19,61,0,0,11,1,4,13,32,14,0,21,1,0,0,2,20,6,57,16,0,60,31,0,8,0,0,99
AR -- CALHOUN (County),3,3,4,8,5,9,7,7,4,43,0,3,0,0,4,0,1,0,2,0,3,3,4,6,31,0,0,8,0,2,9,14,8,0,6,0,3,0,0,12,2,25,11,0,27,16,0,7,0,0,50
AR -- CARROLL (County),24,29,19,28,29,52,64,69,18,288,3,0,1,1,39,0,1,2,4,6,10,9,21,39,240,0,1,14,18,10,35,83,74,0,85,5,3,4,0,31,27,201,73,0,218,59,0,55,0,0,332
AR -- CHICOT (County),2,9,6,8,9,9,10,18,23,39,0,47,0,1,7,0,0,0,0,1,1,1,7,13,71,0,0,13,6,15,16,12,15,0,15,0,1,0,1,22,21,16,35,0,19,66,0,9,0,0,94
